job_title,company_name,location,date_posted,search_query,signal,campaign_track,signal_source,signal_tier,exclude,exclude_reason
IT Manager,Bartley Cohen Legal,Sydney NSW,2 days ago,IT Manager,IT_MANAGER_HIRE,IT-CFO-AUS,SEEK_IT_HIRE,Tier 1,No,
IT Manager,Greenfield Construction Group,Brisbane QLD,3 days ago,IT Manager,IT_MANAGER_HIRE,IT-CFO-AUS,SEEK_IT_HIRE,Tier 1,No,
IT Manager,MedFirst Healthcare,Perth WA,4 days ago,IT Manager,IT_MANAGER_HIRE,IT-CFO-AUS,SEEK_IT_HIRE,Tier 1,No,
IT Manager,Lawson Grains,Adelaide SA,6 days ago,IT Manager,IT_MANAGER_HIRE,IT-CFO-AUS,SEEK_IT_HIRE,Tier 1,No,
IT Manager,Charter Hall Group,Sydney NSW,1 day ago,IT Manager,IT_MANAGER_HIRE,IT-CFO-AUS,SEEK_IT_HIRE,Tier 1,No,
IT Manager,Pinnacle Accounting Partners,Brisbane QLD,7 days ago,IT Manager,IT_MANAGER_HIRE,IT-CFO-AUS,SEEK_IT_HIRE,Tier 1,No,
IT Support Officer,Whitehaven Civil Engineers,Darwin NT,5 days ago,IT Support Officer,IT_SUPPORT_HIRE,IT-CEO-AUS,SEEK_IT_HIRE,Tier 1,No,
IT Support Officer,Nexus Financial Planning,Sydney NSW,2 days ago,IT Support Officer,IT_SUPPORT_HIRE,IT-CEO-AUS,SEEK_IT_HIRE,Tier 1,No,
IT Support Officer,Apex NDIS Services,Brisbane QLD,4 days ago,IT Support Officer,IT_SUPPORT_HIRE,IT-CEO-AUS,SEEK_IT_HIRE,Tier 1,No,
IT Support Officer,Coastal Property Management,Gold Coast QLD,6 days ago,IT Support Officer,IT_SUPPORT_HIRE,IT-CEO-AUS,SEEK_IT_HIRE,Tier 1,No,
IT Support Officer,Redstone Roofing,Adelaide SA,5 days ago,IT Support Officer,IT_SUPPORT_HIRE,IT-CEO-AUS,SEEK_IT_HIRE,Tier 1,No,
Systems Administrator,Morrison Kent Lawyers,Sydney NSW,1 day ago,Systems Administrator,SYSADMIN_HIRE,IT-CEO-AUS,SEEK_IT_HIRE,Tier 1,No,
Systems Administrator,Lendlease Building,Melbourne VIC,3 days ago,Systems Administrator,SYSADMIN_HIRE,IT-CEO-AUS,SEEK_IT_HIRE,Tier 1,No,
Systems Administrator,CPA Australia,Melbourne VIC,4 days ago,Systems Administrator,SYSADMIN_HIRE,IT-CEO-AUS,SEEK_IT_HIRE,Tier 1,No,
Systems Administrator,Pacific Lutheran College,Brisbane QLD,5 days ago,Systems Administrator,SYSADMIN_HIRE,IT-CEO-AUS,SEEK_IT_HIRE,Tier 1,No,
Systems Administrator,Sigma Healthcare,Melbourne VIC,2 days ago,Systems Administrator,SYSADMIN_HIRE,IT-CEO-AUS,SEEK_IT_HIRE,Tier 1,No,
Help Desk Technician,Talbot Family Law,Perth WA,3 days ago,Help Desk Technician,HELPDESK_HIRE,IT-CEO-AUS,SEEK_IT_HIRE,Tier 1,No,
Help Desk Technician,Dixon Advisory,Sydney NSW,2 days ago,Help Desk Technician,HELPDESK_HIRE,IT-CEO-AUS,SEEK_IT_HIRE,Tier 1,No,
Help Desk Technician,Murchison Metals,Perth WA,4 days ago,Help Desk Technician,HELPDESK_HIRE,IT-CEO-AUS,SEEK_IT_HIRE,Tier 1,No,
Help Desk Technician,Cornerstone Real Estate,Adelaide SA,6 days ago,Help Desk Technician,HELPDESK_HIRE,IT-CEO-AUS,SEEK_IT_HIRE,Tier 1,No,
Network Administrator,Northside Medical Centre,Sydney NSW,3 days ago,Network Administrator,NETWORK_HIRE,IT-CEO-AUS,SEEK_IT_HIRE,Tier 1,No,
Network Administrator,Pilbara Ports Authority,Perth WA,5 days ago,Network Administrator,NETWORK_HIRE,IT-CEO-AUS,SEEK_IT_HIRE,Tier 1,No,
IT Coordinator,Spencer Gulf Logistics,Adelaide SA,4 days ago,IT Coordinator,IT_COORD_HIRE,IT-CEO-AUS,SEEK_IT_HIRE,Tier 1,No,
IT Coordinator,Clearwater Accounting Group,Brisbane QLD,3 days ago,IT Coordinator,IT_COORD_HIRE,IT-CEO-AUS,SEEK_IT_HIRE,Tier 1,No,
IT Coordinator,Glencore Coal Assets,Newcastle NSW,2 days ago,IT Coordinator,IT_COORD_HIRE,IT-CEO-AUS,SEEK_IT_HIRE,Tier 1,No,
IT Coordinator,Allied Health Partners,Melbourne VIC,5 days ago,IT Coordinator,IT_COORD_HIRE,IT-CEO-AUS,SEEK_IT_HIRE,Tier 1,No,
Head of IT,Ironbark Property Group,Melbourne VIC,2 days ago,Head of IT,HEAD_IT_HIRE,IT-CFO-AUS,SEEK_IT_HIRE,Tier 1,No,
Head of IT,Shine Lawyers,Brisbane QLD,3 days ago,Head of IT,HEAD_IT_HIRE,IT-CFO-AUS,SEEK_IT_HIRE,Tier 1,No,
Head of IT,National Storage REIT,Brisbane QLD,4 days ago,Head of IT,HEAD_IT_HIRE,IT-CFO-AUS,SEEK_IT_HIRE,Tier 1,No,
Cybersecurity Analyst,Dexus Property Group,Sydney NSW,2 days ago,Cybersecurity Analyst,CYBER_HIRE,IT-CEO-AUS,SEEK_IT_HIRE,Tier 1,No,
Cybersecurity Analyst,Slater and Gordon,Melbourne VIC,3 days ago,Cybersecurity Analyst,CYBER_HIRE,IT-CEO-AUS,SEEK_IT_HIRE,Tier 1,No,
Cybersecurity Analyst,Crawford & Company,Sydney NSW,5 days ago,Cybersecurity Analyst,CYBER_HIRE,IT-CEO-AUS,SEEK_IT_HIRE,Tier 1,No,
Cybersecurity Analyst,Uniting Care Queensland,Brisbane QLD,4 days ago,Cybersecurity Analyst,CYBER_HIRE,IT-CEO-AUS,SEEK_IT_HIRE,Tier 1,No,
